sex,method,age_group,sample,race,published_estimate,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
women,image,all_age_group,healthy,all_race,all_published_estimate,z,unweighted,-0.015040364073001774,-0.07220536740945772,0.04222312983886255,0.6068387708587192,9,"3,8,13,16,23,24,27,29,31","3,8,13,16,23,24,27,29,31",9,0,70,0.11442849724832027
all_sex,all_method,adults,all_sample,white,all_published_estimate,r,FE,-0.014748626976429133,-0.0634777663887553,0.033980512435897024,0.5530383565870964,13,"1,2,3,4,5,6,10,11,17,18,19,20,25","1,2,3,4,5,6,10,11,17,18,19,20,25",13,0,71,0.09745827882465233
all_sex,all_method,adults,all_sample,white,all_published_estimate,r,REML,-0.014748626976429133,-0.0634777663887553,0.033980512435897024,0.5530383565870964,13,"1,2,3,4,5,6,10,11,17,18,19,20,25","1,2,3,4,5,6,10,11,17,18,19,20,25",13,0,72,0.09745827882465233
all_sex,all_method,adults,all_sample,white,all_published_estimate,r,RE_DL,-0.014748626976429133,-0.0634777663887553,0.033980512435897024,0.5530383565870964,13,"1,2,3,4,5,6,10,11,17,18,19,20,25","1,2,3,4,5,6,10,11,17,18,19,20,25",13,0,73,0.09745827882465233
women,image,all_age_group,healthy,all_race,all_published_estimate,r,unweighted,-0.014444444444444446,-0.07039165431984624,0.04150276543095736,0.6128403039885457,9,"3,8,13,16,23,24,27,29,31","3,8,13,16,23,24,27,29,31",9,0,74,0.11189441975080361
men,all_method,adults,all_sample,white,yes,r,FE,-0.013852269788873899,-0.06647705883014572,0.03877251925239793,0.6059133543720729,9,"1,6,10,11,17,18,19,20,25","1,6,10,11,17,18,19,20,25",9,0,75,0.10524957808254365
men,all_method,adults,all_sample,white,yes,r,RE_DL,-0.013814542920981481,-0.0664739554762816,0.03884486963431864,0.6071315945417413,9,"1,6,10,11,17,18,19,20,25","1,6,10,11,17,18,19,20,25",9,0,76,0.10531882511060024
men,all_method,adults,healthy,white,yes,z,RE_DL,-0.013216309820851617,-0.07121478835732027,0.0448712354843971,0.6557940861292477,8,"1,6,10,11,17,18,20,25","1,6,10,11,17,18,20,25",8,0,77,0.11608602384171737
men,all_method,adults,all_sample,white,yes,r,REML,-0.011080375695740292,-0.06627518354180637,0.044114432150325775,0.6939772439238289,9,"1,6,10,11,17,18,19,20,25","1,6,10,11,17,18,19,20,25",9,0,78,0.11038961569213214
men,all_method,adults,healthy,white,yes,r,REML,-0.009697832313099765,-0.0690536497379389,0.04965798511173937,0.7487954049556063,8,"1,6,10,11,17,18,20,25","1,6,10,11,17,18,20,25",8,0,79,0.11871163484967827
men,direct,adults,healthy,all_race,yes,z,FE,-0.00925200915705699,-0.07477371212258246,0.05634923653793116,0.7824122250100751,4,"1,9,17,20","1,9,17,20",4,0,80,0.13112294866051363
men,image,adults,healthy,white,all_published_estimate,r,REML,-0.008064036677670142,-0.08708288221667755,0.07095480886133727,0.8414662065765397,7,"2,4,6,10,11,18,25","2,4,6,10,11,18,25",7,0,81,0.15803769107801482
men,image,adults,healthy,white,all_published_estimate,r,RE_DL,-0.008064036677670142,-0.08708288221667755,0.07095480886133727,0.8414662065765397,7,"2,4,6,10,11,18,25","2,4,6,10,11,18,25",7,0,82,0.15803769107801482
men,image,adults,healthy,white,all_published_estimate,r,FE,-0.008064036677670142,-0.08708288221667755,0.07095480886133727,0.8414662065765397,7,"2,4,6,10,11,18,25","2,4,6,10,11,18,25",7,0,83,0.15803769107801482
men,image,adults,healthy,white,all_published_estimate,z,RE_DL,-0.008040940233524384,-0.08711141516800691,0.07113021540466458,0.8424476906057088,7,"2,4,6,10,11,18,25","2,4,6,10,11,18,25",7,0,84,0.1582416305726715
men,image,adults,healthy,white,all_published_estimate,z,FE,-0.008040940233524384,-0.08711141516800691,0.07113021540466458,0.8424476906057088,7,"2,4,6,10,11,18,25","2,4,6,10,11,18,25",7,0,85,0.1582416305726715
men,image,adults,healthy,white,all_published_estimate,z,REML,-0.008040940233524384,-0.08711141516800691,0.07113021540466458,0.8424476906057088,7,"2,4,6,10,11,18,25","2,4,6,10,11,18,25",7,0,86,0.1582416305726715
men,direct,adults,all_sample,all_race,yes,z,FE,-0.007849736857487096,-0.07095510449673093,0.05531821645988598,0.8077367216508688,5,"1,9,17,19,20","1,9,17,19,20",5,0,87,0.12627332095661692
all_sex,image,adults,healthy,white,all_published_estimate,r,FE,-0.007250828220690637,-0.08217953574835038,0.06767787930696911,0.8495715562432108,8,"2,3,4,6,10,11,18,25","2,3,4,6,10,11,18,25",8,0,88,0.1498574150553195
all_sex,image,adults,healthy,white,all_published_estimate,r,RE_DL,-0.007250828220690637,-0.08217953574835038,0.06767787930696911,0.8495715562432108,8,"2,3,4,6,10,11,18,25","2,3,4,6,10,11,18,25",8,0,89,0.1498574150553195
all_sex,image,adults,healthy,white,all_published_estimate,r,REML,-0.007250828220690637,-0.08217953574835038,0.06767787930696911,0.8495715562432108,8,"2,3,4,6,10,11,18,25","2,3,4,6,10,11,18,25",8,0,90,0.1498574150553195
all_sex,image,adults,healthy,white,all_published_estimate,z,REML,-0.007225051292890934,-0.08220047007840585,0.06783168839657197,0.8505556019862588,8,"2,3,4,6,10,11,18,25","2,3,4,6,10,11,18,25",8,0,91,0.1500321584749778
all_sex,image,adults,healthy,white,all_published_estimate,z,FE,-0.007225051292890934,-0.08220047007840585,0.06783168839657197,0.8505556019862588,8,"2,3,4,6,10,11,18,25","2,3,4,6,10,11,18,25",8,0,92,0.1500321584749778
all_sex,image,adults,healthy,white,all_published_estimate,z,RE_DL,-0.007225051292890934,-0.08220047007840585,0.06783168839657197,0.8505556019862588,8,"2,3,4,6,10,11,18,25","2,3,4,6,10,11,18,25",8,0,93,0.1500321584749778
men,image,adults,all_sample,white,all_published_estimate,r,FE,-0.007160862158414557,-0.08258724456599996,0.06826552024917083,0.8523852414987014,8,"2,4,5,6,10,11,18,25","2,4,5,6,10,11,18,25",8,0,94,0.1508527648151708
men,image,adults,all_sample,white,all_published_estimate,r,RE_DL,-0.007160862158414557,-0.08258724456599996,0.06826552024917083,0.8523852414987014,8,"2,4,5,6,10,11,18,25","2,4,5,6,10,11,18,25",8,0,95,0.1508527648151708
men,image,adults,all_sample,white,all_published_estimate,r,REML,-0.007160862158414557,-0.08258724456599996,0.06826552024917083,0.8523852414987014,8,"2,4,5,6,10,11,18,25","2,4,5,6,10,11,18,25",8,0,96,0.1508527648151708
men,image,adults,all_sample,white,all_published_estimate,z,FE,-0.007134186252350729,-0.08260918859730591,0.068422187304457,0.8533822016799166,8,"2,4,5,6,10,11,18,25","2,4,5,6,10,11,18,25",8,0,97,0.1510313759017629
men,image,adults,all_sample,white,all_published_estimate,z,RE_DL,-0.007134186252350729,-0.08260918859730591,0.068422187304457,0.8533822016799166,8,"2,4,5,6,10,11,18,25","2,4,5,6,10,11,18,25",8,0,98,0.1510313759017629
men,image,adults,all_sample,white,all_published_estimate,z,REML,-0.007134186252350729,-0.08260918859730591,0.068422187304457,0.8533822016799166,8,"2,4,5,6,10,11,18,25","2,4,5,6,10,11,18,25",8,0,99,0.1510313759017629
all_sex,image,adults,all_sample,white,all_published_estimate,r,RE_DL,-0.006496952262196727,-0.07834177200931988,0.06534786748492644,0.8593196961639846,9,"2,3,4,5,6,10,11,18,25","2,3,4,5,6,10,11,18,25",9,0,100,0.14368963949424632
all_sex,image,adults,all_sample,white,all_published_estimate,r,FE,-0.006496952262196727,-0.07834177200931988,0.06534786748492644,0.8593196961639846,9,"2,3,4,5,6,10,11,18,25","2,3,4,5,6,10,11,18,25",9,0,101,0.14368963949424632
all_sex,image,adults,all_sample,white,all_published_estimate,r,REML,-0.006496952262196727,-0.07834177200931988,0.06534786748492644,0.8593196961639846,9,"2,3,4,5,6,10,11,18,25","2,3,4,5,6,10,11,18,25",9,0,102,0.14368963949424632
all_sex,image,adults,all_sample,white,all_published_estimate,z,FE,-0.006468991098373248,-0.07835782602765105,0.06548677243312445,0.8603111964373555,9,"2,3,4,5,6,10,11,18,25","2,3,4,5,6,10,11,18,25",9,0,103,0.14384459846077552
all_sex,image,adults,all_sample,white,all_published_estimate,z,REML,-0.006468991098373248,-0.07835782602765105,0.06548677243312445,0.8603111964373555,9,"2,3,4,5,6,10,11,18,25","2,3,4,5,6,10,11,18,25",9,0,104,0.14384459846077552
all_sex,image,adults,all_sample,white,all_published_estimate,z,RE_DL,-0.006468991098373248,-0.07835782602765105,0.06548677243312445,0.8603111964373555,9,"2,3,4,5,6,10,11,18,25","2,3,4,5,6,10,11,18,25",9,0,105,0.14384459846077552
men,direct,adults,healthy,all_race,yes,r,FE,-0.006340465828527018,-0.07141044454440594,0.05872951288735191,0.8485410200205026,4,"1,9,17,20","1,9,17,20",4,0,106,0.13013995743175785
