religiosityMeasure,sample,publicationstatus,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
Beliefs,College,published,r,REML,-0.15872693658616252,-0.20674508630783317,-0.11070878686449186,9.246655869132174e-11,31,"18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",31,0,33,0.09603629944334131
mixed,Non-College,published,r,REML,-0.15765899892669027,-0.1955945664736249,-0.11972343137975566,3.775702177774568e-16,10,"50,71,72,73,76,77,81,82,86,101","50,71,72,73,76,77,81,82,86,101",10,0,34,0.07587113509386922
mixed,College,published,r,RE_DL,-0.15761958772207488,-0.24364051422272748,-0.07159866122142228,0.0003290067632084606,5,"31,49,54,79,91","31,49,54,79,91",5,0,35,0.1720418530013052
Beliefs,College,published,z,REML,-0.1575702631733129,-0.20455728426151856,-0.1098587658156412,1.4623206825982917e-10,31,"18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",31,0,36,0.09469851844587736
Behavior,Non-College,published,z,unweighted,-0.1573126283062403,-0.20422273151404996,-0.1096816967317936,1.4570495236253485e-10,6,"33,38,56,87,88,94","33,38,56,87,88,94",6,0,37,0.09454103478225637
Beliefs,College,published,r,RE_DL,-0.1572784946283042,-0.1957146297579074,-0.118842359498701,1.0569184365741573e-15,31,"18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",31,0,38,0.0768722702592064
mixed,College,published,r,REML,-0.15674699819366983,-0.2462959954909433,-0.06719800089639635,0.0006019584428913205,5,"31,49,54,79,91","31,49,54,79,91",5,0,39,0.17909799459454695
Behavior,Non-College,published,r,unweighted,-0.1566666666666668,-0.20345936010218074,-0.10987397323115285,5.303475314313155e-11,6,"33,38,56,87,88,94","33,38,56,87,88,94",6,0,40,0.0935853868710279
mixed,Non-College,published,z,REML,-0.15644884377517057,-0.19317361038792064,-0.11928632460395035,3.3411955086108534e-16,10,"50,71,72,73,76,77,81,82,86,101","50,71,72,73,76,77,81,82,86,101",10,0,41,0.07388728578397029
mixed,College,published,z,RE_DL,-0.15614437835667067,-0.2420242805222368,-0.06783694434849413,0.0005648311830051199,5,"31,49,54,79,91","31,49,54,79,91",5,0,42,0.17418733617374266
mixed,Non-College,published,r,RE_DL,-0.15563453108196704,-0.18758167612696455,-0.12368738603696952,1.3195541604636891e-21,10,"50,71,72,73,76,77,81,82,86,101","50,71,72,73,76,77,81,82,86,101",10,0,43,0.06389429008999503
mixed,College,published,z,REML,-0.1555825606580691,-0.24398954351725594,-0.06461094486254707,0.0008498431526694039,5,"31,49,54,79,91","31,49,54,79,91",5,0,44,0.17937859865470887
mixed,Non-College,all_publicationstatus,r,REML,-0.15538797334090462,-0.18907227251174383,-0.12170367417006542,1.5461034045514744e-19,11,"12,50,71,72,73,76,77,81,82,86,101","12,50,71,72,73,76,77,81,82,86,101",11,0,45,0.06736859834167841
