"sex","method","age_group","sample","race","published_estimate","effect","ma_method","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"men","all_method","adults","healthy","all_race","yes","r","FE",0.00735380462654208,-0.0359635548288334,0.0506711640819176,0.73933449079193,11,"1,6,9,10,11,15,17,18,20,25,26","1,6,9,10,11,15,17,18,20,25,26",11,0,274,0.086634718910751
"men","image","all_age_group","healthy","white","yes","r","FE",0.00739325141351616,-0.0244673614406485,0.0392538642676808,0.649246360671028,11,"6,7,10,11,12,14,18,21,25,28,30","6,7,10,11,12,14,18,21,25,28,30",11,0,275,0.0637212257083294
"men","image","all_age_group","healthy","white","yes","r","REML",0.0073947141569965,-0.0245796388742771,0.0393690671882701,0.650346261472551,11,"6,7,10,11,12,14,18,21,25,28,30","6,7,10,11,12,14,18,21,25,28,30",11,0,276,0.0639487060625471
"men","all_method","adults","all_sample","all_race","yes","r","FE",0.00744130914623637,-0.0351538191276891,0.0500364374201618,0.732047662600772,12,"1,6,9,10,11,15,17,18,19,20,25,26","1,6,9,10,11,15,17,18,19,20,25,26",12,0,277,0.0851902565478509
"men","image","all_age_group","all_sample","all_race","all_published_estimate","z","REML",0.00751497527090817,-0.0215744389124609,0.0365916760405196,0.612655209100126,16,"2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30",16,0,278,0.0581661149529806
"men","image","all_age_group","all_sample","all_race","all_published_estimate","z","FE",0.00751508004036017,-0.0215698545008593,0.036587304905154,0.61259550240647,16,"2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30",16,0,279,0.0581571594060133
"men","image","all_age_group","all_sample","all_race","all_published_estimate","z","RE_DL",0.00751508004036017,-0.0215698545008593,0.036587304905154,0.61259550240647,16,"2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30",16,0,280,0.0581571594060133
"men","image","all_age_group","all_sample","white","all_published_estimate","r","RE_DL",0.00758675162056605,-0.0425872909290862,0.0577607941702183,0.76695241942839,14,"2,4,5,6,7,10,11,12,14,18,21,25,28,30","2,4,5,6,7,10,11,12,14,18,21,25,28,30",14,0,281,0.100348085099304
"men","image","all_age_group","healthy","all_race","all_published_estimate","z","REML",0.00758750454081625,-0.0216967394589239,0.0368587399863018,0.611613279192128,15,"2,4,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,6,7,10,11,12,14,15,18,21,25,26,28,30",15,0,282,0.0585554794452258
"men","image","all_age_group","healthy","all_race","all_published_estimate","z","FE",0.00758760115251104,-0.0216914130287809,0.0368536112589244,0.611545108627704,15,"2,4,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,6,7,10,11,12,14,15,18,21,25,26,28,30",15,0,283,0.0585450242877054
